,normalized_score,polarization,word_count,grade_level
count,120622.0,120622.0,120622.0,120622.0
mean,0.6830283388768218,0.22229811126162718,24.011739152061814,11.765439017454002
std,0.18285917442757998,0.13236415026133957,9.80946113226743,4.443063276419348
min,0.0,0.0,1.0,-3.3999999999999986
25%,0.6,0.0999999999999999,17.0,8.588421052631581
50%,0.7,0.24,24.0,11.693684210526316
75%,0.8,0.3,31.0,14.958750000000002
max,1.0,0.5,54.0,126.4
