,Training,Held-out,Difference (held-out − training)
R_squared,0.003268701722062506,0.002071970265064227,-0.001196731456998279
MAE,0.11162222979957573,0.11142065423206698,-0.00020157556750874384
RMSE,0.13217955139495327,0.132096127777512,-8.342361744126392e-05
