,coefficient,HC3_robust_SE,t_value,p_value,CI_95_lower,CI_95_upper,standardized_beta
const,0.22092226328945974,0.0029157312824013514,75.76907536812226,0.0,0.2152075349873563,0.22663699159156317,
log_word_count,-0.0064918356224635985,0.0010283474389305319,-6.312881596919252,2.73887047062178e-10,-0.008507359566361443,-0.004476311678565753,-0.022923907348409923
grade_level_model,0.0018971443315628847,0.00011149493223619866,17.015520737246078,6.301049643307941e-65,0.0016786182799212014,0.002115670383204568,0.06216170370002217
is_top_critic,-0.0033354891778297783,0.0011148564397615963,-2.9918553267208536,0.0027728763618080866,-0.005520567647695055,-0.0011504107079645014,-0.009601540697504898
