,Final regression,Training-mean baseline
within ±0.05,0.2233782383419689,0.22288082901554404
within ±0.1,0.48750259067357515,0.5033367875647669
within ±0.25,0.9439170984455959,0.944041450777202
within ±0.5,1.0,1.0
