,,R_squared,MAE,RMSE,Accuracy_±0.5
In-sample (training),Final regression,0.003268701722062506,0.11162222979957573,0.13217955139495327,1.0
In-sample (training),Intercept-only baseline,0.0,0.1119253397137976,0.1323961102030476,1.0
Held-out (new data),Final regression,0.002071970265064227,0.11142065423206698,0.132096127777512,1.0
Held-out (new data),Training-mean baseline,-5.687309703406029e-06,0.1116675649065769,0.13223356645609471,1.0
