,diagnostic,statistic,p_value
0,Breusch-Pagan LM,7.111322746223294,0.06843292211243727
1,Breusch-Pagan F,2.3705173504304486,0.06843279737550723
2,Jarque-Bera normality,2573.6439142241315,0.0
3,Ramsey RESET linearity,20.613433399653882,5.6268184005816845e-06
4,Durbin-Watson,1.9935610251571851,
